Product,Order Date,Price
LuminaX Pro Camera,2023-07-10,2800.00
LensCraft Mastery Kit,2023-07-12,1500.00
SonicWave Audio Rig,2023-07-15,980.00
AstraGlide Stabilizer,2023-07-18,2000.00
PrismVision Studio Lights,2023-07-21,1400.00
ZoomBlast Microphone Set,2023-07-23,800.00
LuminaX Pro Camera,2023-07-26,2800.00
LensCraft Mastery Kit,2023-08-02,1500.00
SonicWave Audio Rig,2023-08-05,980.00
AstraGlide Stabilizer,2023-08-08,2000.00
PrismVision Studio Lights,2023-08-12,1400.00
ZoomBlast Microphone Set,2023-08-15,800.00
LuminaX Pro Camera,2023-08-18,2800.00
LensCraft Mastery Kit,2023-08-22,1500.00
SonicWave Audio Rig,2023-08-25,980.00
AstraGlide Stabilizer,2023-08-28,2000.00
PrismVision Studio Lights,2023-09-02,1400.00
ZoomBlast Microphone Set,2023-09-05,800.00
LuminaX Pro Camera,2023-09-08,2800.00
LensCraft Mastery Kit,2023-09-12,1500.00
SonicWave Audio Rig,2023-09-15,980.00
AstraGlide Stabilizer,2023-09-18,2000.00
PrismVision Studio Lights,2023-09-22,1400.00
ZoomBlast Microphone Set,2023-09-25,800.00